 approach_a , approach_b 
364073.3473,7518736.179
243218.2978,4008814.822
303624.0184,0
1407912.731,8479585.247
288943.3211,0
0,0
771696.7048,0
305933.933,0
1207740.426,0
372761.5836,0
822780.6407,0
0,0
253167.4128,0
1304210.676,0
1566332.848,0
744531.354,0
1237167.954,0
1706351.3,0
214141.5346,0
252605.5007,8556525.089
538672.7873,6125541.388
926077.959,0
1143797.05,0
946862.8374,0
833401.8194,0
434098.4292,0
224515.0797,1705247.026
584775.7642,9051642.094
404412.1158,5795785.45
2368238.485,0
899639.3463,5981700.819
0,0
520896.1231,3652746.28
171043.9044,0
374111.0622,0
566627.2807,0
627309.9444,0
0,0
1951361.356,9598792.235
1513808.229,13926665.51
336073.2535,4167719.796
460016.2899,0
410129.7849,0
458322.5588,9652866.171
882210.0604,0
577338.783,0
1498970.347,6514716.369
437606.0874,0
500178.9568,0
225044.7141,0
748090.8705,7368690.556
826944.5247,0
2108010.822,6476468.623
421194.638,0
489947.7242,0
313026.1951,4744006.667
912377.46,0
1037842.598,0
0,0
882153.3959,0
453337.0798,0
379276.1402,0
156046.5801,0
334275.7358,9064440.2
170836.9759,0
123430.7312,0
1715150.956,0
907807.1746,0
142285.9689,0
0,9220692.738
324183.7329,7901383.44
0,7453444.32
1156107.75,0
1447349.664,0
814306.6646,5590906.257
186380.8406,0
683153.5616,0
675817.7566,0
546652.0835,4753569.484
251674.393,8312002.495
152387.8435,0
0,6400638.116
496872.3345,2589219.248
934873.2538,0
1015811.387,0
119456.6755,0
2851472.419,0
426428.7086,0
582240.4423,0
87976.42799,0
134467.1574,0
691986.7355,4797905.85
1147634.043,0
618167.9126,0
80842.14581,0
976922.847,0
816471.6714,0
505971.6556,0
368364.7765,2775441.923
1647578.367,9781859.861
0,0
673844.138,0
1104612.722,12907127.61
0,5937304.156
1213115.442,9795768.12
652235.6708,0
326561.4801,0
616625.0807,0
1099949.88,0
1170712.949,0
891134.0439,0
318839.073,0
81286.21965,0
126476.027,0
368326.5038,0
318787.6902,0
281670.9145,4812523.264
1534418.546,0
0,0
576489.2111,0
745301.822,0
493649.5283,4102743.077
828691.3275,12136817.69
263384.3202,0
163084.2371,3191188.169
415720.6302,4487304.2
507291.4558,0
181412.2838,5868129.623
776638.8445,0
318653.3796,6063615.79
266530.9098,0
299440.9719,0
1051136.247,3052487.903
0,0
1266198.323,0
181307.0231,0
695863.0843,0
330867.0885,0
0,0
2130791.867,0
584404.122,0
2304602.771,7995036.521
963041.6135,939240.2967
209351.2204,0
287619.5929,0
346067.4023,0
0,0
255653.7761,0
175473.3674,0
897815.1035,0
1279337.795,0
1174893.142,0
489382.7088,0
482478.6961,2859494.467
1358591.35,0
514494.5147,5761672.041
336511.1246,0
1234021.363,0
958624.9345,3793146.457
1062010.648,0
0,0
0,0
377503.0928,0
1209087.183,0
709787.8919,0
578148.2495,0
410505.7929,0
664494.8469,0
0,0
1007382.024,0
397088.0411,3716457.358
0,0
75255.84036,0
755846.6432,9113273.281
696348.2588,0
1709300.185,0
0,0
524779.9091,0
189753.9013,0
725693.5648,0
1534877.581,0
740485.9237,0
1011203.276,0
296907.1512,0
664896.1619,0
0,0
262590.15,0
374736.6416,0
857890.2848,0
432361.5089,0
0,0
367458.2645,0
155063.1906,0
275735.6437,0
722348.9751,0
1483203.188,0
317404.6965,0
916767.9428,0
147089.4901,0
377782.541,0
1347692.619,8992353.842
191736.7383,10919078.33
391151.456,0
629010.9299,0
1191543.726,0
1438789.048,0
586446.5139,0
1455118.798,0
604498.3785,0
244453.1032,0
0,0
0,4858108.38
704121.0286,0
228960.7138,1842469.402
1063576.919,0
304256.0264,0
466914.8135,0
220869.0048,1085877.824
978275.9067,0
504602.2712,0
2855290.469,0
253195.4731,0
920842.7159,0
558717.4937,0
0,0
586396.2698,0
413216.6163,0
295475.831,0
251496.8563,0
452979.9258,6417940.042
414933.2557,0
0,0
336794.5868,0
1655042.338,0
1099058.308,0
100970.7105,0
332615.9897,13441440.43
884738.3401,0
748353.5246,3640696.874
794929.3821,0
0,0
2179123.987,0
753723.5358,0
209689.69,8427590.173
563958.1771,6585273.808
265515.3999,5952934.378
685449.0452,5744131.642
398980.7125,0
539708.1238,0
1555014.407,0
265140.4172,0
0,0
397433.9993,0
767920.0355,0
1180391.169,9065439.024
461891.4535,0
2669064.141,0
1331747.987,0
